id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53344884,Suntuoso apartamento em Copacabana posto 6,431412286,Carlos Henrique,,Copacabana,-22.98299,-43.18904,Entire home/apt,3500,3,0,,,10,365,0,
44708736,Aluguel de Lancha no Rio de Janeiro,97164727,Jorge Quito,,Glória,-22.91988,-43.17034,Entire home/apt,8999,1,2,2021-08-02,0.10,2,179,0,
7801456,Ipanema Vieira Souto - Linda Vista,40650139,Carlos Alberto,,Ipanema,-22.98723,-43.20452,Entire home/apt,5000,2,0,,,5,365,0,
48227858,Ótimo apart-hotel com toda comodidade! ITAGUAÍ!!,387525952,Nelio,,Santa Cruz,-22.87218,-43.7674,Entire home/apt,200,2,4,2021-12-17,0.22,2,356,1,
36306164,Porto Real Resort cobertura espetacular,273041807,Andreia,,Santa Cruz,-22.87738,-43.7378,Entire home/apt,636,2,12,2022-03-21,0.55,1,353,4,
53042498,Lindo e aconchegante FLAT.,390320631,Imobiliária,,Vigário Geral,-22.79194,-43.30758,Entire home/apt,180,5,2,2022-06-12,0.23,3,334,2,
41396858,Posto 6 próximo Ipanema 3 pessoas quadra da praia,292590334,Belsito Apartments,,Copacabana,-22.98321,-43.18897,Entire home/apt,229,28,7,2021-12-17,0.22,29,0,1,
551530378555017887,Mansão Luxuosa Lissandron URCA - Quarto Leblon,138251228,Katia Roberta,,Urca,-22.95022,-43.16793,Private room,401,2,0,,,3,0,0,
699421066162239071,Casa de praia. Com ótima vista pra lagoa.  Piscina,476283820,Thiago Jorge Bacelar Lopes,,Pavuna,-22.80249,-43.38979,Entire home/apt,571,1,0,,,2,362,0,
551777888954965782,Mansão Luxuosa Lissandron URCA - Quarto Leme,138251228,Katia Roberta,,Urca,-22.95053,-43.16792,Private room,401,2,0,,,3,0,0,
43175973,"casa sobrado confortável, 5 min do centro, tranqui",315289680,Aparecida Cintia,,Santa Cruz,-22.875,-43.76698,Entire home/apt,80,1,0,,,2,365,0,
675101483027667961,Quarto ilha do fundão,73764477,Daiane,,Cidade Universitária,-22.870398753971614,-43.21742073350144,Private room,76,1,0,,,1,179,0,
53970149,Cobertura Frontal debruçada sobre o mar da Barra,15900036,Assunção De Fatima,,Barra da Tijuca,-23.01121,-43.35517,Entire home/apt,5000,5,0,,,24,365,0,
33331421,"Pousada e alojamento Fragoso, para empresas.",632609,Armando,,Santa Cruz,-22.87621,-43.76595,Private room,150,1,1,2019-06-29,0.03,1,89,0,
12080661,Dúplex praia do recreio,64551690,Nara,,Barra da Tijuca,-23.01254,-43.37869,Entire home/apt,2500,1,0,,,1,365,0,
